generation,bot,odds,rival,black,white,tie
data50-32*10_epoch5_vs_org,white,100.0,org,0,10,0
data50-32*10_epoch5_vs_org,black,100.0,org,10,0,0
data50-32*10_epoch5_vs_pre,white,100.0,pre,0,10,0
data50-32*10_epoch5_vs_pre,black,100.0,pre,10,0,0
data50-32*10_epoch5_vs_data200,white,100.0,data200,0,10,0
data50-32*10_epoch5_vs_data200,black,100.0,data200,10,0,0
data50-32*10_epoch5_vs_data100-16*3,white,0.0,data100-16*3,10,0,0
data50-32*10_epoch5_vs_data100-16*3,black,0.0,data100-16*3,0,10,0
data50-16*3_epoch5_vs_data100-16*3,white,100.0,data100-16*3,0,10,0
data50-16*3_epoch5_vs_data100-16*3,black,100.0,data100-16*3,10,0,0
data50-32*3_epoch5_vs_data100-16*3,white,40.0,data100-16*3,6,4,0
data50-32*3_epoch5_vs_data100-16*3,black,60.0,data100-16*3,6,4,0
data50-32*10_epoch5_vs_data100-32*3,white,0.0,data100,10,0,0
data50-32*10_epoch5_vs_data100-32*3,black,0.0,data100,0,10,0
data50-32*3_epoch5_vs_save,white,0.0,pre,10,0,0
data50-32*3_epoch5_vs_save,black,100.0,pre,10,0,0
data50-32*3_epoch5_vs_random,white,0.0,pre,10,0,0
data50-32*3_epoch5_vs_random,black,0.0,pre,0,10,0
data50-32*3_epoch5_vs_org,white,0.0,pre,10,0,0
data50-32*3_epoch5_vs_org,black,100.0,pre,10,0,0
data50-32*3_epoch5_vs_data200,white,0.0,data200,0,0,10
data50-32*3_epoch5_vs_data200,black,100.0,data200,10,0,0
data50-32*3_epoch5_vs_data100-32*3,white,0.0,data100,10,0,0
data50-32*3_epoch5_vs_data100-32*3,black,100.0,data100,10,0,0
play_train_vs_save,white,0.0,pre,10,0,0
play_train_vs_save,black,100.0,pre,10,0,0
play_train_vs_random,white,0.0,pre,10,0,0
play_train_vs_random,black,100.0,pre,10,0,0
play_train_vs_org,white,100.0,pre,0,10,0
play_train_vs_org,black,100.0,pre,10,0,0
play_train_vs_data200,white,100.0,data200,0,10,0
play_train_vs_data200,black,100.0,data200,10,0,0
play_train_vs_data100-32*3,white,0.0,data100,10,0,0
play_train_vs_data100-32*3,black,100.0,data100,10,0,0
play_train2_vs_save,white,0.0,pre,10,0,0
play_train2_vs_save,black,0.0,pre,0,10,0
play_train2_vs_random,white,0.0,pre,10,0,0
play_train2_vs_random,black,0.0,pre,0,10,0
play_train2_vs_org,white,100.0,pre,0,10,0
play_train2_vs_org,black,100.0,pre,10,0,0
play_train2_vs_data200,white,100.0,data200,0,10,0
play_train2_vs_data200,black,100.0,data200,10,0,0
play_train2_vs_data100-32*3,white,100.0,data100,0,10,0
play_train2_vs_data100-32*3,black,100.0,data100,10,0,0
race_vs_save,white,0.0,pre,5,0,0
race_vs_save,black,100.0,pre,5,0,0
race_vs_random,white,0.0,pre,5,0,0
race_vs_random,black,100.0,pre,5,0,0
race_vs_org,white,100.0,pre,0,5,0
race_vs_org,black,100.0,pre,5,0,0
race_vs_data200,white,100.0,data200,0,5,0
race_vs_data200,black,100.0,data200,5,0,0
race_vs_data100-32*3,white,0.0,data100,5,0,0
race_vs_data100-32*3,black,100.0,data100,5,0,0
race_vs_data50,white,0.0,data100,5,0,0
race_vs_data50,black,100.0,data100,5,0,0
